day,date,service_type,line,min_delay
Wednesday,2023-01-11T05:09:00Z,Regular,501,33
Wednesday,2023-01-11T05:58:00Z,Regular,510,9
Wednesday,2023-01-11T05:58:00Z,Regular,505,10
Wednesday,2023-01-11T06:25:00Z,Regular,505,10
Thursday,2023-01-12T09:46:00Z,Night,301,30
Thursday,2023-01-12T10:47:00Z,Regular,501,14
Thursday,2023-01-12T12:51:00Z,Regular,512,5
Thursday,2023-01-12T13:52:00Z,Regular,501,12
Thursday,2023-01-12T14:23:00Z,Regular,501,6
Thursday,2023-01-12T14:26:00Z,Regular,501,17
Thursday,2023-01-12T18:43:00Z,Regular,501,8
Thursday,2023-01-12T19:04:00Z,Regular,504,5
Thursday,2023-01-12T19:38:00Z,Regular,501,7
Thursday,2023-01-12T20:08:00Z,Regular,501,8
Thursday,2023-01-12T20:10:00Z,Regular,512,7
Thursday,2023-01-12T22:35:00Z,Regular,501,140
Thursday,2023-01-12T22:57:00Z,Regular,511,8
Thursday,2023-01-12T22:57:00Z,Regular,511,8
Thursday,2023-01-13T00:08:00Z,Regular,505,56
Thursday,2023-01-13T00:20:00Z,Regular,501,8
Thursday,2023-01-13T01:20:00Z,Regular,504,9
Thursday,2023-01-13T02:58:00Z,Regular,505,31
Thursday,2023-01-13T04:05:00Z,Regular,504,10
Thursday,2023-01-13T04:33:00Z,Regular,510,9
Thursday,2023-01-13T04:51:00Z,Regular,510,14
Thursday,2023-01-13T04:52:00Z,Regular,512,25
Thursday,2023-01-12T05:40:00Z,Regular,510,8
Thursday,2023-01-12T06:12:00Z,Regular,504,10
Thursday,2023-01-12T06:41:00Z,Regular,506,20
Friday,2023-01-13T08:10:00Z,Night,301,30
Friday,2023-01-13T10:39:00Z,Regular,501,12
Friday,2023-01-13T10:45:00Z,Regular,506,15
Friday,2023-01-13T10:55:00Z,Regular,501,4
Friday,2023-01-13T12:06:00Z,Regular,501,5
Friday,2023-01-13T12:08:00Z,Regular,505,17
Friday,2023-01-13T12:43:00Z,Regular,506,28
Friday,2023-01-13T13:47:00Z,Regular,501,8
Friday,2023-01-13T13:54:00Z,Regular,509,9
Friday,2023-01-13T13:57:00Z,Regular,504,7
Friday,2023-01-13T14:00:00Z,Regular,505,5
